INFO 2025-12-05 00:38:48,844 basehttp 13824 15016 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:38:49,318 basehttp 13824 15016 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:38:49,420 basehttp 13824 15016 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:38:49,510 basehttp 13824 15016 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:38:49,622 basehttp 13824 15016 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:38:49,724 basehttp 13824 15016 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:38:49,822 basehttp 13824 15016 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:39:02,088 basehttp 13824 15016 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:39:02,196 basehttp 13824 15016 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:39:02,765 basehttp 13824 15016 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:02,839 basehttp 13824 26296 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:02,843 basehttp 13824 25560 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:02,877 basehttp 13824 15016 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:03,080 basehttp 13824 15016 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:03,160 basehttp 13824 15016 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:03,160 basehttp 13824 25560 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:39:03,184 basehttp 13824 26296 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:39:03,258 basehttp 13824 26296 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:39:03,348 basehttp 13824 26296 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:39:03,359 basehttp 13824 15016 "GET /api/recent-activity/ HTTP/1.1" 200 1010
